release_name,artist_name,release_date,genres,descriptors,avg_rating,rating_count,review_count
EndEx,3TEETH,2023-09-22,"Industrial Metal, Industrial Rock,Dark Electro, Alternative Metal, Groove Metal, Electro-Industrial","futuristic, male vocalist, martial, dark, science fiction, aggressive, mechanical, nocturnal, anarchism, dense, desert, heavy, rhythmic, space",3.31,141,3.0
Chill Kill,Red Velvet,2023-11-13,"K-Pop, Contemporary R&B, Alt-Pop, Trap [EDM], Electropop, Alternative R&B","female vocalist, dark, nocturnal, ethereal, sensual, melodic, mellow, ominous, rhythmic, love",3.4,510,2.0
Un/limited Love,George Riley,2023-11-10,"Alternative R&B, Electronic Dance Music,UK Garage, House, Breakbeat","female vocalist, sexual, sensual, ethereal, energetic, rhythmic, atmospheric, love, nocturnal, urban",3.45,55,1.0
Sweet Justice,Tkay Maidza,2023-11-03,"Contemporary R&B, Pop Rap, Hip House, Industrial Hip Hop, Neo-Soul, Alternative R&B","female vocalist, nocturnal, bittersweet, eclectic, boastful, sensual, rhythmic, playful, breakup, sexual, warm, ethereal, lush, triumphant, melodic, summer",3.38,670,3.0
Drama,aespa,2023-11-10,"K-Pop, Trap [EDM], Dance-Pop, Electropop, Dance-Pop","female vocalist, energetic, eclectic, playful, sensual, quirky, rhythmic, melodic, mechanical, nocturnal, urban",2.84,528,1.0
Heaven Knows,PinkPantheress,2023-11-10,"Contemporary R&B, Alt-Pop, Electronic Dance Music, Liquid Drum and Bass, Dance-Pop, 2-Step, Breakbeat, Alternative R&B","female vocalist, atmospheric, ethereal, bittersweet, introspective, sentimental, lush, rhythmic, romantic, eclectic, longing, melodic, soft, breakup, nocturnal, love, mellow, death, futuristic",3.66,2869,23.0
I<3UQTINVU,Jockstrap & Taylor Skye,2023-11-03,"Glitch Pop, Electronic Dance Music, House, Hyperpop, Deconstructed Club, Trap [EDM]","female vocalist, surreal, sampling, LGBT, playful, quirky, eclectic",3.01,466,6.0
Blanket,Kevin Abstract,2023-11-03,"Indie Rock, Indie Pop,Bedroom Pop, Slacker Rock","abstract, male vocalist, LGBT, introspective, androgynous vocals, melancholic, bittersweet, melodic, longing, surreal, sad, anxious, eclectic, existential",2.8,1030,13.0
going…going…GONE!,hemlocke springs,2023-09-29,"Synthpop, Bedroom Pop,New Wave, Dance-Pop, Indietronica","quirky, longing, playful, female vocalist, love, energetic, melodic, ethereal, passionate, lonely, introspective, bittersweet, romantic, rhythmic, existential",3.7,1108,6.0
Ambrosia,Namasenda,2023-10-05,"Alternative R&B,Bubblegum Bass, Funk brasileiro, Dancehall, Ambient Trance","female vocalist, ethereal, rhythmic, cold, sensual, eclectic, deadpan, atmospheric, urban, love",3.02,229,0.0
 I Don't Want You Anymore,Cherry Glazerr,2023-09-29,"Alternative Rock, Grunge, Synthpop, Dream Pop, Indietronica, Alt-Pop","female vocalist, nocturnal, longing, noisy, sensual, raw, love, passionate",3.3,311,1.0
We Buy Diabetic Test Strips,Armand Hammer,2023-09-29,"Experimental Hip Hop, Abstract Hip Hop, East Coast Hip Hop, Industrial Hip Hop, Drumless, Conscious Hip Hop, Cloud Rap, Political Hip Hop, Jazz Rap","avant-garde, abstract, dark, atmospheric, male vocalist, surreal, conscious, urban, cryptic, sampling, ominous, eclectic, progressive, rhythmic, poetic, drugs, serious, hypnotic, introspective, political, crime, nocturnal, deadpan, psychedelic, dense, violence, rebellious, mysterious, futuristic, technical",3.81,5222,33.0
Autumn Variations,Ed Sheeran,2023-09-29,"Singer-Songwriter, Folk Pop,Adult Contemporary, Indie Folk","autumn, male vocalist, introspective, longing, melancholic, optimistic, mellow, anxious, warm, melodic",2.5,405,6.0
ASSEMBLE,tripleS,2023-02-13,"K-Pop, Dance-Pop,Future Bass, Contemporary R&B, Electropop","female vocalist, playful, rhythmic, melodic, passionate, energetic",3.42,897,4.0
