track_name,artist(s)_name,artist_count,album,explicit,popularity,release_date,streams,duration_in_min,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",2,GOLDEN,True,85,2023-11-03,,3.3635333333333333,108,C#,Major,86,89,83,4,0,9,11
Closer to You (feat. Major Lazer),"Jung Kook, Major Lazer",2,GOLDEN,False,86,2023-11-03,,2.8499166666666667,113,D,Minor,79,50,66,12,1,11,5
Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",2,GOLDEN,True,87,2023-11-03,,3.0591833333333334,124,B,Major,79,88,84,32,0,8,5
Standing Next to You,Jung Kook,1,GOLDEN,False,96,2023-11-03,,3.433666666666667,106,D,Minor,72,82,81,5,0,34,10
Yes or No,Jung Kook,1,GOLDEN,False,88,2023-11-03,,2.4592833333333335,83,C#,Major,68,89,84,18,0,8,9
Please Don't Change (feat. DJ Snake),"Jung Kook, DJ Snake",2,GOLDEN,False,87,2023-11-03,,2.44475,114,B,Major,80,77,75,17,1,17,18
Hate You,Jung Kook,1,GOLDEN,False,88,2023-11-03,,2.5706166666666665,79,D,Major,42,25,28,87,0,10,4
Somebody,Jung Kook,1,GOLDEN,False,86,2023-11-03,,2.81,106,C#,Minor,65,26,68,29,0,14,5
Too Sad to Dance,Jung Kook,1,GOLDEN,False,86,2023-11-03,,2.9318666666666666,100,A#,Major,56,57,47,62,0,11,9
Shot Glass of Tears,Jung Kook,1,GOLDEN,False,86,2023-11-03,,2.78745,77,F#,Minor,51,17,40,51,0,9,4
Seven (feat. Latto) (Clean Ver.),"Jung Kook, Latto",2,GOLDEN,False,83,2023-11-03,,3.0591833333333334,124,C#,Minor,79,90,83,28,0,8,5
SORRY,The Kid LAROI,1,THE FIRST TIME,True,74,2023-11-10,,3.2108,79,B,Minor,46,27,83,25,0,38,9
BLEED,The Kid LAROI,1,THE FIRST TIME,False,71,2023-11-10,,2.8331666666666666,174,A#,Minor,57,67,42,65,0,19,3
I THOUGHT THAT I NEEDED YOU,The Kid LAROI,1,THE FIRST TIME,True,71,2023-11-10,,2.8536166666666665,80,F,Major,59,50,73,1,0,13,12
WHERE DO YOU SLEEP?,The Kid LAROI,1,THE FIRST TIME,True,69,2023-11-10,,3.205233333333333,89,A,Major,36,40,61,4,0,36,6
TOO MUCH,"The Kid LAROI, Jung Kook, Central Cee",3,THE FIRST TIME,True,70,2023-11-10,,3.39825,94,A#,Minor,76,48,72,27,0,16,20
TEAR ME APART,The Kid LAROI,1,THE FIRST TIME,False,68,2023-11-10,,1.9151333333333334,94,D,Major,65,69,50,77,0,20,7
STRANGERS (Interlude),The Kid LAROI,1,THE FIRST TIME,False,31,2023-11-10,,0.43293333333333334,68,G,Major,28,48,56,97,97,78,91
NIGHTS LIKE THIS,The Kid LAROI,1,THE FIRST TIME,False,68,2023-11-10,,1.4497333333333333,142,F#,Major,49,12,76,2,1,15,4
WHAT'S THE MOVE? (feat. Future and BabyDrill),"The Kid LAROI, Future, BabyDrill",3,THE FIRST TIME,True,68,2023-11-10,,3.3257833333333333,144,C#,Major,53,15,56,4,0,38,8
STRANGERS PT 2 (Interlude),The Kid LAROI,1,THE FIRST TIME,False,63,2023-11-10,,0.7250333333333333,98,C#,Major,50,44,28,99,0,26,14
CALL ME INSTEAD (feat. Youngboy Never Broke Again & Robert Glasper),"The Kid LAROI, YoungBoy Never Broke Again, Robert Glasper",3,THE FIRST TIME,True,67,2023-11-10,,3.2963666666666667,92,C#,Major,65,25,41,95,1,23,3
DESERVE YOU,The Kid LAROI,1,THE FIRST TIME,True,67,2023-11-10,,2.6262166666666666,137,B,Major,60,49,62,37,1,54,6
WHAT WENT WRONG???,The Kid LAROI,1,THE FIRST TIME,True,67,2023-11-10,,2.6233833333333334,77,D,Major,56,34,58,4,0,17,9
THE LINE (feat. d4vd),"The Kid LAROI, d4vd",2,THE FIRST TIME,False,68,2023-11-10,,2.5342,91,G,Minor,67,69,36,84,0,32,5
WHAT JUST HAPPENED,The Kid LAROI,1,THE FIRST TIME,True,67,2023-11-10,,2.712083333333333,170,A#,Major,59,48,59,9,0,35,5
YOU,The Kid LAROI,1,THE FIRST TIME,True,66,2023-11-10,,2.276116666666667,95,D,Major,71,54,62,31,0,26,3
LOVE AGAIN,The Kid LAROI,1,THE FIRST TIME,False,65,2023-11-10,,2.4411,107,B,Minor,59,37,46,45,0,12,3
WHERE DOES YOUR SPIRIT GO?,The Kid LAROI,1,THE FIRST TIME,True,64,2023-11-10,,3.4281166666666665,100,D,Major,45,36,38,56,0,16,4
YOU NEVER FORGET YOUR FIRST TIME...,The Kid LAROI,1,THE FIRST TIME,False,61,2023-11-10,,2.0811,66,A,Major,48,4,14,92,22,16,32
KIDS ARE GROWING UP,The Kid LAROI,1,THE FIRST TIME,True,63,2023-11-10,,4.342933333333334,165,C#,Minor,63,76,64,49,1,11,35
What Am I Gonna Do,Chris Stapleton,1,Higher,False,71,2023-11-10,,3.028,125,C,Major,62,45,52,39,1,11,4
South Dakota,Chris Stapleton,1,Higher,False,67,2023-11-10,,4.69755,75,A,Minor,67,63,39,5,28,31,3
Trust,Chris Stapleton,1,Higher,False,66,2023-11-10,,3.39,173,A,Major,52,54,30,74,0,21,4
It Takes A Woman,Chris Stapleton,1,Higher,False,66,2023-11-10,,4.11645,115,C,Major,58,22,15,72,1,15,5
The Fire,Chris Stapleton,1,Higher,False,66,2023-11-10,,3.75045,92,G,Minor,56,19,44,84,48,11,3
Think I'm In Love With You,Chris Stapleton,1,Higher,False,66,2023-11-10,,3.7133333333333334,91,F#,Minor,68,61,42,19,22,14,4
Loving You On My Mind,Chris Stapleton,1,Higher,False,66,2023-11-10,,3.484,133,A,Major,66,50,43,4,10,11,3
White Horse,Chris Stapleton,1,Higher,False,67,2023-11-10,,4.464883333333334,145,C#,Minor,36,23,77,1,60,11,5
Higher,Chris Stapleton,1,Higher,False,66,2023-11-10,,4.0411166666666665,122,G#,Major,52,10,22,18,17,28,4
The Bottom,Chris Stapleton,1,Higher,False,65,2023-11-10,,4.104666666666667,112,E,Major,65,64,72,2,1,11,3
