id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,,
15019959,Amazing huge furnished room!,445894,Alexa,Queens,Elmhurst,40.74596,-73.87762,Private room,60,2,0,,,2,66,,
35373956,Fun 3 Bedroom Just Minutes to Manhattan!!,266299609,Nick,Queens,Astoria,40.75883,-73.9216,Entire home apartment,250,2,0,,,1,282,,
15818624,Sunny and spacious  1-bedroom in Brooklyn,18192430,Jamie,Brooklyn,Fort Greene,40.6967,-73.97477,Private room,80,1,53,01-06-18,2.15,1,0,,
7460933,Large Private Room in Greenpoint Williamsburg,12738054,Aude,Brooklyn,Greenpoint,40.72435,-73.95154,Private room,95,1,119,24-06-19,2.57,2,1,,
1983531,Spacious Bright 1 Bedroom East Village Apartment,5586949,S & G,Manhattan,East Village,40.72754,-73.98555,Entire home apartment,450,3,12,02-01-19,0.19,2,0,,
9705782,Spacious Brooklyn Brownstone 3BR+,8144242,Kerry,Brooklyn,Bedford-Stuyvesant,40.68382,-73.95566,Entire home apartment,300,2,24,04-07-17,0.56,1,0,,
15468765,Quiet & Spacious Brooklyn Apt for Cat-Lovers,12063606,Nicole,Brooklyn,Crown Heights,40.67747,-73.9466,Entire home apartment,90,9,7,12-05-19,0.54,1,0,,
28047011,"Huge room in great area, 25 minutes from Manhattan",70260514,Daphna,Queens,Woodside,40.74588,-73.89721,Private room,45,4,4,14-12-18,0.43,1,0,,
21884557,Brooklyn Home in the Heart of it All,23005139,Samantha,Brooklyn,Crown Heights,40.67512,-73.96185,Private room,55,3,0,,,1,0,,
5267177,Spacious 1BR Bushwick Surfers Loft!,27263990,Lindsey,Brooklyn,Bushwick,40.69544,-73.93046,Entire home apartment,110,3,0,,,1,0,,
9694001,West Village Studio Apartment,28422539,Tomas,Manhattan,West Village,40.73713,-74.00059,Entire home apartment,250,7,0,,,1,0,,
14835065,West Village Apartment near Washington Square Park,77722758,Robert,Manhattan,Greenwich Village,40.73293,-73.99846,Entire home apartment,200,1,4,30-12-17,0.12,1,0,,163.839
20755,"Large Parlor Room, Landmark Home 1 block to PRATT",51038,Erica,Brooklyn,Clinton Hill,40.68634,-73.966,Private room,98,7,16,31-05-19,0.2,6,185,,
12885249,Room in Bushwick Bk available June,65459567,Destiny,Brooklyn,Bushwick,40.68651,-73.91185,Private room,26,14,0,,,1,0,,
11802086,5 rooms in clean apartment /West Harlem,62852828,Latrisha,Manhattan,Harlem,40.82443,-73.95265,Entire home apartment,400,3,2,11-05-18,0.06,2,88,,
2447298,Soho loft with everything,5165749,Ben,Manhattan,SoHo,40.72512,-74.00024,Entire home apartment,650,5,0,,,2,83,,
22516361,Cozy & artsy apt in East Village - 2 bedrooms,26583247,Frannie,Manhattan,East Village,40.7316,-73.98507,Entire home apartment,132,7,0,,,1,0,,
29055747,British Room @ Columbia Uni.,171214206,Elif,Manhattan,Morningside Heights,40.80445,-73.96373,Private room,75,1,29,23-06-19,3.33,3,8,,
15126360,"Live Like a NYer - small space, dope neighborhood",5424751,Joi,Manhattan,Midtown,40.75645,-73.97828,Entire home apartment,475,1,0,,,1,364,,
23727326,Spacious brand new apartment 2 bedrooms - 2bath,5832321,Kalani,Queens,Glendale,40.69589,-73.89572,Entire home apartment,100,2,57,05-07-19,3.68,2,267,,
16504513,Gorgeous Industrial Loft in Prime Williamsburg,5179443,Vinay,Brooklyn,Williamsburg,40.72162,-73.96029,Entire home apartment,195,4,7,11-11-18,0.23,1,0,,
21066041,Private 2 bedroom w/ Rooftop Manhattan View!,6394738,Lindsay,Brooklyn,Bushwick,40.7049,-73.92448,Private room,155,1,4,26-11-17,0.19,2,0,,
