restaurant_name,cuisine_type,cost_of_the_order,day_of_the_week,rating,food_preparation_time,delivery_time
Hangawi,Korean,30.75,Weekend,Not given,25,20
Blue Ribbon Sushi Izakaya,Japanese,12.08,Weekend,Not given,25,23
Cafe Habana,Mexican,12.23,Weekday,5,23,28
Blue Ribbon Fried Chicken,American,29.2,Weekend,3,25,15
Dirty Bird to Go,American,11.59,Weekday,4,25,24
Tamarind TriBeCa,Indian,25.22,Weekday,3,20,24
The Meatball Shop,Italian,6.07,Weekend,Not given,28,21
Barbounia,Mediterranean,5.97,Weekday,3,33,30
Anjappar Chettinad,Indian,16.44,Weekday,5,21,26
Bukhara Grill,Indian,7.18,Weekday,5,29,26
Big Wong Restaurant _¤¾Ñ¼,Chinese,5.92,Weekday,Not given,34,28
Empanada Mama (closed),Mexican,8.1,Weekend,5,23,22
Blue Ribbon Fried Chicken,American,24.3,Weekend,5,23,17
Pylos,Mediterranean,11.3,Weekend,3,24,23
Lucky's Famous Burgers,American,12.13,Weekday,Not given,23,30
Shake Shack,American,16.2,Weekend,5,33,25
Sushi of Gari,Japanese,16.98,Weekend,Not given,30,16
Blue Ribbon Sushi Izakaya,Japanese,33.03,Weekend,Not given,21,22
RedFarm Hudson,Chinese,14.12,Weekend,4,25,24
Blue Ribbon Sushi,Japanese,16.2,Weekend,4,35,26
Five Guys Burgers and Fries,American,24.2,Weekend,4,21,24
Shake Shack,American,15.91,Weekend,Not given,25,20
Shake Shack,American,29.1,Weekday,5,21,30
Tortaria,Mexican,8.92,Weekend,Not given,33,16
Cafe Mogador,Middle Eastern,15.86,Weekday,Not given,32,29
Cafe Mogador,Middle Eastern,29.1,Weekday,5,20,29
The Meatball Shop,Italian,21.88,Weekday,5,24,27
Otto Enoteca Pizzeria,Italian,14.02,Weekend,Not given,24,16
Vezzo Thin Crust Pizza,Italian,9.17,Weekend,Not given,21,24
Sushi of Gari 46,Japanese,12.18,Weekday,Not given,20,29
The Kati Roll Company,Indian,31.33,Weekend,5,28,25
Klong,Thai,29.05,Weekend,5,35,24
5 Napkin Burger,American,8.39,Weekday,Not given,35,24
TAO,Japanese,9.12,Weekend,Not given,34,18
Parm,Italian,29.1,Weekend,5,30,26
Sushi Samba,Japanese,15.47,Weekend,Not given,32,26
Blue Ribbon Sushi,Japanese,16.01,Weekday,4,23,31
The Meatball Shop,Italian,24.3,Weekday,4,31,29
Haru Gramercy Park,Japanese,29.83,Weekday,5,20,32
Shake Shack,American,19.89,Weekend,Not given,27,19
Chipotle Mexican Grill $1.99 Delivery,Mexican,19.35,Weekend,4,21,18
TAO,Japanese,33.22,Weekend,Not given,23,19
RedFarm Broadway,Chinese,24.25,Weekend,5,22,15
Cafeteria,American,16.44,Weekend,Not given,33,22
Five Guys Burgers and Fries,American,22.75,Weekend,5,30,20
The Meatball Shop,Italian,6.74,Weekend,5,29,23
DuMont Burger,American,29.05,Weekend,5,22,30
Sarabeth's East,American,13.78,Weekend,4,34,24
Blue Ribbon Fried Chicken,American,19.89,Weekday,Not given,27,24
Hill Country Fried Chicken,Southern,16.93,Weekend,5,33,21
Bistango,Italian,21.88,Weekend,Not given,21,19
Blue Ribbon Fried Chicken,American,29.39,Weekend,Not given,27,28
TAO,Japanese,20.23,Weekend,5,22,20
RedFarm Broadway,Chinese,29.1,Weekend,Not given,22,23
Jack's Wife Freda,Mediterranean,22.75,Weekend,3,35,29
Mamoun's Falafel,Mediterranean,14.12,Weekend,3,31,15
Sushi of Gari 46,Japanese,14.6,Weekday,3,24,24
RedFarm Hudson,Chinese,12.23,Weekday,5,25,33
Prosperity Dumpling,Chinese,14.02,Weekend,5,20,30
Blue Ribbon Fried Chicken,American,6.79,Weekday,Not given,33,28
Blue Ribbon Fried Chicken,American,24.25,Weekend,Not given,28,21
Blue Ribbon Sushi Bar & Grill,Japanese,33.03,Weekend,Not given,33,20
Cafe Habana,Mexican,31.38,Weekend,4,23,27
