CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,cuisine,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location Point1
50100813,SMASHBURGER,Bronx,1925,TURNBULL AVENUE,10473,3478018360,American,05/31/2022,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,22,,,10/24/2023,Cycle Inspection / Initial Inspection,40.82285296,-73.85786251,209,18,4200,2094835,2036730001,BX09,
50106619,AJISAI JAPANESE FUSION,Manhattan,795,LEXINGTON AVENUE,10065,2123550888,Japanese,05/24/2022,Violations were cited in the following area(s).,10C,Lighting Inadequate,Not Critical,13,A,05/24/2022,10/24/2023,Pre-permit (Operational) / Initial Inspection,40.76385541,-73.96697997,108,4,11402,1041997,1013960054,MN40,
50110049,JUNOON,Manhattan,19,WEST   24 STREET,10010,2124902100,Indian,09-08-21,No violations were recorded at the time of this inspection.,,,Not Applicable,,,,10/24/2023,Administrative Miscellaneous / Initial Inspection,40.74262626,-73.99009391,105,3,5800,1015598,1008260026,MN13,
40482596,BROADHURST THEATER,Manhattan,235 WEST,44th Street,10036,2125867610,American,10/16/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13,A,10/16/2018,10/24/2023,Cycle Inspection / Initial Inspection,40.75801864,-73.98762264,105,3,11900,1024713,1010160011,MN17,
50105615,AUNTS ET UNCLES,Brooklyn,1407,NOSTRAND AVENUE,11226,9175868529,Vegan,12/29/2021,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,Critical,12,A,12/29/2021,10/24/2023,Pre-permit (Operational) / Re-inspection,40.65211778,-73.94970452,317,40,81800,3108501,3048687501,BK95,
50067637,SUSHI DAMO,Manhattan,330A,WEST   58 STREET,10019,2127078609,Japanese,05/15/2023,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,23,,,10/24/2023,Cycle Inspection / Initial Inspection,40.76780591,-73.98338972,104,6,13900,1082494,1010480020,MN15,
50109018,El Tequilazo,Queens,17237,HILLSIDE AVE,11432,6462584663,Spanish,10/17/2022,Violations were cited in the following area(s).,08C,"Pesticide not properly labeled or used by unlicensed individual.  Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,24,,,10/24/2023,Cycle Inspection / Initial Inspection,40.71217419,-73.7889544,408,24,45800,4210593,4098440101,QN06,
50098364,YUMMY YUMMY CHINESE,Queens,5273,65TH PL,11378,7188987128,Chinese,05-09-22,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,16,,,10/24/2023,Cycle Inspection / Initial Inspection,40.73208173,-73.90011051,405,30,51500,4055019,4023820001,QN30,
50108149,SPRINKLES,Brooklyn,5508,18 AVENUE,11204,7184966196,Frozen Desserts,10/29/2021,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,10/29/2021,10/24/2023,Pre-permit (Operational) / Initial Inspection,40.62477328,-73.98452778,312,44,47000,3130740,3054900039,BK88,
41256607,ARTOPOLIS CAFE,Manhattan,1090,AMSTERDAM AVENUE,10025,2126663744,Mediterranean,10/26/2022,Violations were cited in the following area(s).,28-May,"Food adulterated or misbranded.  Adulterated or misbranded food possessed, being manufactured, produced, packed, sold, offered for sale, delivered or given away",Not Critical,20,,,10/24/2023,Cycle Inspection / Initial Inspection,40.80522011,-73.96223102,109,7,19900,1057032,1018850036,MN09,
